building code,vendor,account number,usage cost,meter number,bill end date,usage
D151,PSE&G,66 339 348 07,307.46,266000652,7/23/2020,2700,kws
D152,PSE&G,69 031 991 01,16.30,3008696,7/23/2020,0.000,therms
D152,PSE&G,69 031 991 01,74126.0,266010751,7/23/2020,3816,kws
A340,PSE&G,67 352 300 00,510.04,9222432,7/23/2020,3360,kws
A340,PSE&G,67 352 300 00,1321.31,9222432,7/23/2020,33200,kws
D153,PSE&G,67 598 028 02,411.58,16424340,7/23/2020,3230,kws
D152,PSE&G,65 334 541 02,365.18,726014925,7/23/2020,2550,kws
D151,PSE&G,66 275 864 01,37447.0,726018798,7/23/2020,2135,kws
D151,PSE&G,70 736 948 07,16.29,4119177,7/23/2020,0.000,therms
D151,PSE&G,70 736 948 07,306.5,266015326,7/23/2020,1566,kws
D021,PSE&G,74 513 885 06,357.6,726012890,7/20/2020,901,kws
